spam,internet,order,mail,report,free,business,email,you,money,george,meeting,re,conference,ch$,crl.long
1,0,0,0,0,0.32,0,1.29,1.93,0,0,0,0,0,0,61
1,0.07,0,0.94,0.21,0.14,0.07,0.28,3.47,0.43,0,0,0,0,0.18,101
1,0.12,0.64,0.25,0,0.06,0.06,1.03,1.36,0.06,0,0,0.06,0,0.184,485
1,0.63,0.31,0.63,0,0.31,0,0,3.18,0,0,0,0,0,0,40
1,0.63,0.31,0.63,0,0.31,0,0,3.18,0,0,0,0,0,0,40
1,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,0,0,0.64,0,0.96,0,0.32,3.85,0,0,0,0,0,0.054,4
1,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,0,0.92,0.76,0,0,0,0.15,1.23,0.15,0,0,0,0,0.203,445
1,0,0.06,0,0,0,0,0.12,1.67,0,0,0,0,0,0.081,43
1,0,0,1.92,0,0,0,0.96,3.84,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,11
1,0,0,0,0,0.34,0,1.39,2.09,0,0,0,0,0,0,61
1,0,0,0.9,0,0,0,0,2.72,0,0,0,0,0,0,7
1,0.35,0,0.71,0,5.35,0,0,3.21,0,0,0,0,0,0,24
1,0,0,1.27,0,1.27,0,0,1.7,0.42,0,0,0,0,0.063,55
1,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,31
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,95
1,0,0,0,0,0,0.37,0.37,3.15,0,0,0,0,0,0,4
1,0,0.31,0,0,0.63,0.31,3.18,2.22,0.63,0,0,0,0,0.496,91
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1,0.02,0.55,0,0,0,0.02,0.13,2.09,0,0,0,0,0,0.046,66
1,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,1.16,0,1.16,1.16,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.196,22
1,0.02,0.55,0,0,0,0.02,0.13,2.09,0,0,0,0,0,0.046,66
1,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.196,22
1,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,0,12
1,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0.65,1.3,0,1.3,0.65,0,0,0,0,0,66
1,0,0,0,0,0,1.17,0,3.52,0,0,0,1.17,0,0,10
1,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0.27,0,0,3.51,0.27,0,0,0,0,0.091,11
1,0,0,0,0,0,0,4.83,4.83,0,0,0,0,0,0.302,5
1,0,0,0.68,0,0,0,0,2.04,0,0,0,0,0,0,30
1,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,6
1,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,0.48,0.97,0,2.43,0,0,0,0.48,0,0.244,78
1,0,0,0,0,0.48,0,0.97,1.46,0,0,0,0,0,0,61
1,0,0,0,0,0.41,0,0.83,2.08,0,0,0,0.41,0,0,121
1,2.45,0,0,0,0,0,0.3,2.76,0.61,0,0,0,0,0.207,30
1,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,0,0.37,0.37,3.15,0,0,0,0,0,0,4
1,0.52,0,0.26,0,0.26,1.56,0.26,1.82,0,0,0,0,0,0.036,38
1,1.81,0.6,0.75,0,0,0,0,4.07,0.3,0,0,0.15,0,0.068,130
1,0.06,0.06,0.12,0.06,0,0.72,0.06,4.54,0.06,0,0,0.06,0,0.167,12
1,0,0,0.99,0,4.97,0.99,0,3.48,0,0,0,0,0,0,8
1,0.28,0.43,0.74,1.23,0.25,0.43,0.02,3.22,0.36,0,0,0.02,0,0.756,193
1,0.33,0,1.12,0,0.26,0,0.26,3.51,0.26,0,0,0,0,0.23,40
1,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,12
